정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
BSB217400101,금사역,35.2158531,129.11588338,2024-10-28,,21,부산광역시,부산BIS
BSB217400201,대우아파트,35.21467132,129.1167557,2024-10-28,,21,부산광역시,부산BIS
BSB217410101,대우아파트,35.2147751,129.11678922,2024-10-28,,21,부산광역시,부산BIS
BSB217410201,우신아파트,35.21316451,129.11852297,2024-10-28,,21,부산광역시,부산BIS
BSB217410202,신동아파트,35.21051918,129.1198047,2024-10-28,,21,부산광역시,부산BIS
BSB217410203,신동아파트후문,35.21138452,129.11961257,2024-10-28,,21,부산광역시,부산BIS
BSB217420101,대림아파트,35.18523248,129.04793319,2024-10-28,,21,부산광역시,부산BIS
BSB217430101,신동아아파트,35.20655343,129.12762822,2024-10-28,,21,부산광역시,부산BIS
BSB217440101,오륙도선착장,35.10016821,129.12255133,2024-10-28,,21,부산광역시,부산BIS
BSB217460101,장전역2번출구,35.23788727,129.08842255,2024-10-28,,21,부산광역시,부산BIS
BSB217460201,장전역4번출구,35.23886111,129.08860397,2024-10-28,,21,부산광역시,부산BIS
BSB217470101,초읍대진아파트,35.18755477,129.0488916,2024-10-28,,21,부산광역시,부산BIS
BSB217480101,초읍대진아파트,35.18744951,129.04898775,2024-10-28,,21,부산광역시,부산BIS
BSB217480201,대진세탁소,35.18684506,129.04849507,2024-10-28,,21,부산광역시,부산BIS
BSB217490101,대진세탁소,35.1866318,129.04858302,2024-10-28,,21,부산광역시,부산BIS
BSB217500101,부산외국어대학교정문,35.26604273,129.08438136,2024-10-28,,21,부산광역시,부산BIS
BSB217510101,부산외국어대학교캠퍼스,35.26718153,129.08025994,2024-10-28,,21,부산광역시,부산BIS
BSB217520101,명장초등학교,35.20770259,129.09805563,2024-10-28,,21,부산광역시,부산BIS
BSB217520201,조양삼거리,35.20630246,129.10013114,2024-10-28,,21,부산광역시,부산BIS
BSB217520301,유림아파트,35.20787226,129.09938215,2024-10-28,,21,부산광역시,부산BIS
BSB217530101,수남경로당,35.12723643,129.05202174,2024-10-28,,21,부산광역시,부산BIS
BSB217540101,부산의료원,35.18751337,129.05903334,2024-10-28,,21,부산광역시,부산BIS
BSB217560101,부산대경암체육관,35.23368565,129.07555445,2024-10-28,,21,부산광역시,부산BIS
BSB217570101,부산과학고등학교,35.26413255,129.08489003,2024-10-28,,21,부산광역시,부산BIS
BSB217570201,부산외국어대학교정문,35.26575616,129.08532171,2024-10-28,,21,부산광역시,부산BIS
BSB217590301,우리은행온천점,35.20941724,129.07321255,2024-10-28,,21,부산광역시,부산BIS
BSB217640101,기룡교차로,35.35146352,129.25608203,2024-10-28,16343.0,21,부산광역시,부산BIS
BSB217720201,경남정보대분수대,35.14756193,129.0112071,2024-10-28,,21,부산광역시,부산BIS
BSB217730101,경남정보대분수대,35.14749493,129.01144408,2024-10-28,,21,부산광역시,부산BIS
BSB217740201,한신휴플러스,35.07975712,128.90062844,2024-10-28,,21,부산광역시,부산BIS
BSB217750201,두산위브112동,35.08188392,128.89804116,2024-10-28,,21,부산광역시,부산BIS
BSB217790201,금강웰테크,35.08379961,128.88181574,2024-10-28,,21,부산광역시,부산BIS
BSB217820301,금강웰테크,35.08313261,128.88211287,2024-10-28,,21,부산광역시,부산BIS
BSB217840101,신호소방서,35.08475643,128.8799739,2024-10-28,,21,부산광역시,부산BIS
BSB217850101,모던홈마트,35.22115418,129.15246764,2024-10-28,,21,부산광역시,부산BIS
BSB217850201,느티나무요양원,35.2201837,129.15307342,2024-10-28,,21,부산광역시,부산BIS
BSB217860101,느티나무요양원,35.22031587,129.15324163,2024-10-28,,21,부산광역시,부산BIS
BSB217860201,경찰특공대입구,35.21976203,129.15347409,2024-10-28,,21,부산광역시,부산BIS
BSB217870101,경찰특공대입구,35.21969213,129.15360402,2024-10-28,,21,부산광역시,부산BIS
BSB217890101,보경사,35.22004597,129.15089151,2024-10-28,,21,부산광역시,부산BIS
BSB217900201,달산마을,35.32213259,129.19082584,2024-10-28,16352.0,21,부산광역시,부산BIS
