도서관,시도,시군구,주소,이름,연간 이용자 수,위도,경도
2,부산광역시,서구,부산광역시 서구 대영로73번길 92,동대신3동 생활문화센터,"2,592",35.114419382,129.017261744
3,부산광역시,동구,부산광역시 동구 범일동 79-1 (범일동),범일생활문화센터,"5,298",35.13942008451113,129.05603684463506
4,부산광역시,동구,부산광역시 동구 성남로47번길13 2층(범일5동행정복지센터),매축지생활문화센터,"1,000",,
5,부산광역시,동구,부산광역시 동구 중앙대로 209번길 30 (초량2동 행정복지센터),초량생활문화센터,"1,600",35.116531140,129.038479224
6,부산광역시,동구,"부산광역시 동구 수정중로11번길 23(수정동, 수정2동행정복지센터)",수정생활문화센터,100,35.129997487,129.042619530
7,부산광역시,동구,"부산광역시 동구 증산서로 18-1 (좌천동, 좌천생활문화센터)",좌천생활문화센터,500,35.136133030,129.048600160
8,부산광역시,영도구,부산광역시 영도구 대평로28번길 6,깡깡이 생활문화센터,"1,000",35.091729765,129.034688128
9,부산광역시,부산진구,부산광역시 부산진구 당감서로 85(당감동),부산진구 생활문화센터,"30,833",35.167929262,129.036491855
10,부산광역시,북구,부산광역시 북구 양달로 58(화명2동),화명생활문화센터,,35.243615836,129.019842752
11,부산광역시,북구,부산광역시 북구 금곡대로 466(금곡동),금곡생활문화센터,,35.250079604,129.012847957
12,부산광역시,사하구,부산광역시 사하구 다송로 59,두송생활문화센터,"7,152",35.062614565,128.986372126
13,부산광역시,사하구,부산광역시 사하구 감천로 97,감천생활문화센터,"6,566",35.088411139,129.002836482
14,부산광역시,사하구,부산광역시 사하구 하신번영로 243,하단생활문화센터,"2,815",35.103267405,128.956758811
15,부산광역시,금정구,부산광역시 금정구 서곡로33번길 9(서동),섯골생활문화센터,"3,000",35.217207558,129.103942473
16,부산광역시,금정구,부산광역시 금정구 금강로335번길 27(장전동),장전생활문화센터,"8,770",35.237701927,129.084930189
17,부산광역시,연제구,부산광역시 연제구 고분로241번길 26,연제구 생활문화센터,"8,000",35.185769123,129.108783183
18,부산광역시,수영구,부산광역시 수영구 광안해변로219,수영구 생활문화센터,"83,938",35.153728367,129.118472907
19,부산광역시,수영구,부산광역시 수영구 수미로 35번길 40,구락 생활문화센터,"32,912",35.175325124,129.115259221
20,부산광역시,사상구,부산광역시 사상구 새벽시장로 56번길 20(감전동행정복지센터 2층),감전생활문화센터,"1,331",35.154180223,128.979394709
,,,,,,37.215170118,127.037841697
문예회관,,,,,,37.215170118,127.037841697
1,부산광역시,금정구,부산광역시 금정구 체육공원로 7,금정문화회관,"109,144",35.246411783,129.094562289
2,부산광역시,남구,부산광역시 남구 유엔평화로6번길 1,부산문화회관,"104,634",,
